,专用设备制造业国有控股工业企业利息支出,交通运输设备制造业国有控股工业企业利息支出,仪器仪表及文化办公用机械制造业国有控股工业企业利息支出,其他矿采选业国有控股工业企业利息支出,其它制造业国有控股工业企业利息支出,化学原料及化学制品制造业国有控股工业企业利息支出,化学纤维制造业国有控股工业企业利息支出,医药制造业国有控股工业企业利息支出,印刷业、记录媒介的复制国有控股工业企业利息支出,国有控股工业企业利息支出,塑料制品业国有控股工业企业利息支出,家具制造业国有控股工业企业利息支出,文教体育用品制造业国有控股工业企业利息支出,普通机械制造业国有控股工业企业利息支出,有色金属冶炼及压延加工业国有控股工业企业利息支出,有色金属矿采选业国有控股工业企业利息支出,服装及其他纤维制品制造业国有控股工业企业利息支出,木材加工及竹、藤、棕、草制品业国有控股工业企业利息支出,木材及竹材采运业国有控股工业企业利息支出,橡胶制品业国有控股工业企业利息支出,烟草加工业国有控股工业企业利息支出,煤气生产和供应业国有控股工业企业利息支出,煤炭采选业国有控股工业企业利息支出,电力、蒸汽、热水的生产和供应业国有控股工业企业利息支出,电子及通信设备制造业国有控股工业企业利息支出,电气机械及器材制造业国有控股工业企业利息支出,皮革、毛皮、羽绒及其制品业国有控股工业企业利息支出,石油加工及炼焦业国有控股工业企业利息支出,石油和天然气开采业国有控股工业企业利息支出,纺织业国有控股工业企业利息支出,自来水的生产和供应业国有控股工业企业利息支出,造纸及纸制品业国有控股工业企业利息支出,金属制品业国有控股工业企业利息支出,非金属矿物制造业国有控股工业企业利息支出,非金属矿采选业国有控股工业企业利息支出,食品制造业国有控股工业企业利息支出,食品加工业国有控股工业企业利息支出,饮料制造业国有控股工业企业利息支出,黑色金属冶炼及压延加工业国有控股工业企业利息支出,黑色金属矿采选业国有控股工业企业利息支出
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,29.16702,83.8418,7.93346,0.00833,1.32812,96.27087,20.84487,23.40792,5.20527,1206.2017,6.97999,0.78534,1.057,42.20055,51.98184,7.3246,2.83515,4.73331,4.1347,9.14188,18.84417,2.73334,33.69256,258.12129,43.835,29.52237,1.82546,58.56915,40.52845,49.34509,7.46594,17.58396,8.49643,45.83883,4.37123,10.06804,29.50591,16.92453,115.29619,1.90988
2001年,25.54192,71.57281,6.87081,0.00209,1.22911,81.80139,13.88215,23.3949,4.57448,1138.15332,6.91825,0.58901,1.32378,41.64847,35.17654,6.73369,2.24853,3.66584,3.91514,9.60674,30.33714,2.00184,40.51588,321.6213,38.05608,26.98024,1.4209,52.83321,27.96174,37.16297,8.31791,15.46622,7.55853,36.39243,5.75572,8.39436,21.07354,15.51947,88.0616,2.30264
2002年,23.35367,67.56755,5.82497,0.00023,0.90197,86.45635,13.34095,23.6492,4.16155,1141.82849,5.36238,0.65891,1.1557,35.84428,37.45136,7.03015,1.72984,3.2989,4.09158,9.37861,27.9265,3.40689,51.05205,340.03188,36.74481,25.12411,1.12209,48.59464,22.5234,32.29725,11.13968,18.79188,6.14099,33.83787,5.35281,9.75488,18.53372,14.77034,91.04648,1.97578
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
