,专用设备制造业国有控股工业企业财务费用,交通运输设备制造业国有控股工业企业财务费用,仪器仪表及文化办公用机械制造业国有控股工业企业财务费用,其他矿采选业国有控股工业企业财务费用,其它制造业国有控股工业企业财务费用,化学原料及化学制品制造业国有控股工业企业财务费用,化学纤维制造业国有控股工业企业财务费用,医药制造业国有控股工业企业财务费用,印刷业、记录媒介的复制国有控股工业企业财务费用,国有控股工业企业财务费用,塑料制品业国有控股工业企业财务费用,家具制造业国有控股工业企业财务费用,文教体育用品制造业国有控股工业企业财务费用,普通机械制造业国有控股工业企业财务费用,有色金属冶炼及压延加工业国有控股工业企业财务费用,有色金属矿采选业国有控股工业企业财务费用,服装及其他纤维制品制造业国有控股工业企业财务费用,木材加工及竹、藤、棕、草制品业国有控股工业企业财务费用,木材及竹材采运业国有控股工业企业财务费用,橡胶制品业国有控股工业企业财务费用,烟草加工业国有控股工业企业财务费用,煤气生产和供应业国有控股工业企业财务费用,煤炭采选业国有控股工业企业财务费用,电力、蒸汽、热水的生产和供应业国有控股工业企业财务费用,电子及通信设备制造业国有控股工业企业财务费用,电气机械及器材制造业国有控股工业企业财务费用,皮革、毛皮、羽绒及其制品业国有控股工业企业财务费用,石油加工及炼焦业国有控股工业企业财务费用,石油和天然气开采业国有控股工业企业财务费用,纺织业国有控股工业企业财务费用,自来水的生产和供应业国有控股工业企业财务费用,造纸及纸制品业国有控股工业企业财务费用,金属制品业国有控股工业企业财务费用,非金属矿物制造业国有控股工业企业财务费用,非金属矿采选业国有控股工业企业财务费用,食品制造业国有控股工业企业财务费用,食品加工业国有控股工业企业财务费用,饮料制造业国有控股工业企业财务费用,黑色金属冶炼及压延加工业国有控股工业企业财务费用,黑色金属矿采选业国有控股工业企业财务费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,29.89976,89.18828,8.2338,0.00883,1.52319,93.6481,20.98018,23.89027,5.63459,1228.77154,7.51972,0.93888,1.21057,42.02796,53.15397,7.67158,2.92822,5.00789,4.30219,8.52499,19.72073,2.55926,34.68048,260.74282,44.21081,30.98402,2.02268,50.89884,51.49431,51.64349,8.28644,19.24901,9.06444,48.51993,4.69001,10.99864,30.92543,17.96215,108.86401,2.13846
2001年,25.52717,77.36177,7.12628,0.00209,1.40811,88.76248,13.70889,24.00075,5.02047,1170.0553,7.64848,0.85054,1.49704,41.42626,37.72182,6.99422,2.61619,3.90854,4.03474,10.17953,31.01576,2.54024,42.2454,322.85624,40.28946,28.47517,1.7133,49.16427,25.52744,39.21751,9.46966,17.20967,8.85517,38.34924,4.48645,9.00076,22.98871,16.57493,87.44142,2.34112
2002年,23.70621,72.24982,6.15317,0.00153,1.05307,89.62996,14.04606,24.8166,4.64047,1201.26636,5.72184,0.38934,1.32658,36.97543,38.62204,7.17785,1.96772,3.74214,4.26589,9.4381,28.20397,3.49055,51.60359,352.91625,42.46617,26.10539,1.27271,53.64494,24.00956,34.24368,12.44823,19.28313,6.77262,35.92114,5.46928,10.31517,19.53918,16.21048,98.65035,2.13017
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
