,专用设备制造业国有控股工业企业出口交货值,交通运输设备制造业国有控股工业企业出口交货值,仪器仪表及文化办公用机械制造业国有控股工业企业出口交货值,其他矿采选业国有控股工业企业出口交货值,其它制造业国有控股工业企业出口交货值,化学原料及化学制品制造业国有控股工业企业出口交货值,化学纤维制造业国有控股工业企业出口交货值,医药制造业国有控股工业企业出口交货值,印刷业、记录媒介的复制国有控股工业企业出口交货值,国有控股工业企业出口交货值,塑料制品业国有控股工业企业出口交货值,家具制造业国有控股工业企业出口交货值,文教体育用品制造业国有控股工业企业出口交货值,普通机械制造业国有控股工业企业出口交货值,有色金属冶炼及压延加工业国有控股工业企业出口交货值,有色金属矿采选业国有控股工业企业出口交货值,服装及其他纤维制品制造业国有控股工业企业出口交货值,木材加工及竹、藤、棕、草制品业国有控股工业企业出口交货值,木材及竹材采运业国有控股工业企业出口交货值,橡胶制品业国有控股工业企业出口交货值,烟草加工业国有控股工业企业出口交货值,煤气生产和供应业国有控股工业企业出口交货值,煤炭采选业国有控股工业企业出口交货值,电力、蒸汽、热水的生产和供应业国有控股工业企业出口交货值,电子及通信设备制造业国有控股工业企业出口交货值,电气机械及器材制造业国有控股工业企业出口交货值,皮革、毛皮、羽绒及其制品业国有控股工业企业出口交货值,石油加工及炼焦业国有控股工业企业出口交货值,石油和天然气开采业国有控股工业企业出口交货值,纺织业国有控股工业企业出口交货值,自来水的生产和供应业国有控股工业企业出口交货值,造纸及纸制品业国有控股工业企业出口交货值,金属制品业国有控股工业企业出口交货值,非金属矿物制造业国有控股工业企业出口交货值,非金属矿采选业国有控股工业企业出口交货值,食品制造业国有控股工业企业出口交货值,食品加工业国有控股工业企业出口交货值,饮料制造业国有控股工业企业出口交货值,黑色金属冶炼及压延加工业国有控股工业企业出口交货值,黑色金属矿采选业国有控股工业企业出口交货值
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,43.34504,252.09473,33.8073,0.0,13.20084,152.93511,24.69687,82.91335,1.27728,3169.19439,12.40292,7.77568,13.92012,112.91901,138.8777,12.18358,57.70831,5.52847,2.30293,57.42911,11.1675,0.92833,76.97039,49.91615,578.54824,91.35269,21.03984,153.55076,116.4875,489.58446,0.03135,12.35203,66.47459,53.63015,10.96876,36.5649,61.84865,17.4617,279.02844,0.01511
2001年,42.84898,263.25619,25.13605,0.0,18.39042,164.65806,18.22462,83.11263,1.67168,2977.12036,12.12616,5.2719,12.01926,114.66019,130.86487,11.68451,50.97735,5.42113,0.7969,57.07373,14.27904,0.35824,113.84687,55.9394,588.45267,91.60425,28.70242,162.20352,73.578,421.06991,1e-05,8.73097,47.28011,45.95875,10.09819,36.90319,59.78193,20.81055,166.85195,0.16142
2002年,37.92496,309.34297,28.74963,0.0,18.86457,156.00449,28.47078,78.25729,1.40329,3186.21296,9.19313,6.10882,11.19485,119.25734,145.36781,12.4959,43.45107,8.71405,1.14446,49.52138,17.60234,3.06627,130.65536,3.07436,756.32136,99.19962,20.04359,200.32349,66.2853,394.99588,0.04707,8.51995,49.70619,54.17776,13.75787,41.92513,59.87263,23.2676,157.88594,0.34046
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
