,专用设备制造业国有控股工业企业产成品,交通运输设备制造业国有控股工业企业产成品,仪器仪表及文化办公用机械制造业国有控股工业企业产成品,其他矿采选业国有控股工业企业产成品,其它制造业国有控股工业企业产成品,化学原料及化学制品制造业国有控股工业企业产成品,化学纤维制造业国有控股工业企业产成品,医药制造业国有控股工业企业产成品,印刷业、记录媒介的复制国有控股工业企业产成品,国有控股工业企业产成品,塑料制品业国有控股工业企业产成品,家具制造业国有控股工业企业产成品,文教体育用品制造业国有控股工业企业产成品,普通机械制造业国有控股工业企业产成品,有色金属冶炼及压延加工业国有控股工业企业产成品,有色金属矿采选业国有控股工业企业产成品,服装及其他纤维制品制造业国有控股工业企业产成品,木材加工及竹、藤、棕、草制品业国有控股工业企业产成品,木材及竹材采运业国有控股工业企业产成品,橡胶制品业国有控股工业企业产成品,烟草加工业国有控股工业企业产成品,煤气生产和供应业国有控股工业企业产成品,煤炭采选业国有控股工业企业产成品,电力、蒸汽、热水的生产和供应业国有控股工业企业产成品,电子及通信设备制造业国有控股工业企业产成品,电气机械及器材制造业国有控股工业企业产成品,皮革、毛皮、羽绒及其制品业国有控股工业企业产成品,石油加工及炼焦业国有控股工业企业产成品,石油和天然气开采业国有控股工业企业产成品,纺织业国有控股工业企业产成品,自来水的生产和供应业国有控股工业企业产成品,造纸及纸制品业国有控股工业企业产成品,金属制品业国有控股工业企业产成品,非金属矿物制造业国有控股工业企业产成品,非金属矿采选业国有控股工业企业产成品,食品制造业国有控股工业企业产成品,食品加工业国有控股工业企业产成品,饮料制造业国有控股工业企业产成品,黑色金属冶炼及压延加工业国有控股工业企业产成品,黑色金属矿采选业国有控股工业企业产成品
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,182.71294,306.63046,36.16656,0.08307,11.38841,244.57597,42.59754,112.22809,20.94753,3242.00895,27.02897,3.76218,5.15123,222.68661,79.88204,17.00764,21.64101,15.87079,14.52197,56.02803,49.78026,7.89658,89.46874,21.23908,281.4001,154.54689,18.57975,139.36202,33.39585,255.34749,1.17845,64.39016,51.73544,159.15404,20.62657,38.3644,98.08864,94.08029,204.39494,7.77301
