,专用设备制造业国有控股工业企业实收资本,交通运输设备制造业国有控股工业企业实收资本,仪器仪表及文化办公用机械制造业国有控股工业企业实收资本,其他矿采选业国有控股工业企业实收资本,其它制造业国有控股工业企业实收资本,化学原料及化学制品制造业国有控股工业企业实收资本,化学纤维制造业国有控股工业企业实收资本,医药制造业国有控股工业企业实收资本,印刷业、记录媒介的复制国有控股工业企业实收资本,国有控股工业企业实收资本,塑料制品业国有控股工业企业实收资本,家具制造业国有控股工业企业实收资本,文教体育用品制造业国有控股工业企业实收资本,普通机械制造业国有控股工业企业实收资本,有色金属冶炼及压延加工业国有控股工业企业实收资本,有色金属矿采选业国有控股工业企业实收资本,服装及其他纤维制品制造业国有控股工业企业实收资本,木材加工及竹、藤、棕、草制品业国有控股工业企业实收资本,木材及竹材采运业国有控股工业企业实收资本,橡胶制品业国有控股工业企业实收资本,烟草加工业国有控股工业企业实收资本,煤气生产和供应业国有控股工业企业实收资本,煤炭采选业国有控股工业企业实收资本,电力、蒸汽、热水的生产和供应业国有控股工业企业实收资本,电子及通信设备制造业国有控股工业企业实收资本,电气机械及器材制造业国有控股工业企业实收资本,皮革、毛皮、羽绒及其制品业国有控股工业企业实收资本,石油加工及炼焦业国有控股工业企业实收资本,石油和天然气开采业国有控股工业企业实收资本,纺织业国有控股工业企业实收资本,自来水的生产和供应业国有控股工业企业实收资本,造纸及纸制品业国有控股工业企业实收资本,金属制品业国有控股工业企业实收资本,非金属矿物制造业国有控股工业企业实收资本,非金属矿采选业国有控股工业企业实收资本,食品制造业国有控股工业企业实收资本,食品加工业国有控股工业企业实收资本,饮料制造业国有控股工业企业实收资本,黑色金属冶炼及压延加工业国有控股工业企业实收资本,黑色金属矿采选业国有控股工业企业实收资本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,440.80082,1502.19884,110.12414,0.2628,20.80929,1242.23808,314.46711,365.09587,151.01611,20156.13739,112.61166,16.87283,20.82369,632.81577,572.98095,105.69748,55.94896,66.93211,99.20457,109.6379,322.91319,255.56515,959.97563,3566.93651,706.37789,414.61715,24.65062,709.37785,1681.82347,581.74178,521.8486,224.96992,146.65239,708.72578,145.06642,160.70183,326.23379,309.92164,2181.74398,109.04772
