,专用设备制造业国有控股工业企业利润总额,交通运输设备制造业国有控股工业企业利润总额,仪器仪表及文化办公用机械制造业国有控股工业企业利润总额,其他矿采选业国有控股工业企业利润总额,其它制造业国有控股工业企业利润总额,化学原料及化学制品制造业国有控股工业企业利润总额,化学纤维制造业国有控股工业企业利润总额,医药制造业国有控股工业企业利润总额,印刷业、记录媒介的复制国有控股工业企业利润总额,国有控股工业企业利润总额,塑料制品业国有控股工业企业利润总额,家具制造业国有控股工业企业利润总额,文教体育用品制造业国有控股工业企业利润总额,普通机械制造业国有控股工业企业利润总额,有色金属冶炼及压延加工业国有控股工业企业利润总额,有色金属矿采选业国有控股工业企业利润总额,服装及其他纤维制品制造业国有控股工业企业利润总额,木材加工及竹、藤、棕、草制品业国有控股工业企业利润总额,木材及竹材采运业国有控股工业企业利润总额,橡胶制品业国有控股工业企业利润总额,烟草加工业国有控股工业企业利润总额,煤气生产和供应业国有控股工业企业利润总额,煤炭采选业国有控股工业企业利润总额,电力、蒸汽、热水的生产和供应业国有控股工业企业利润总额,电子及通信设备制造业国有控股工业企业利润总额,电气机械及器材制造业国有控股工业企业利润总额,皮革、毛皮、羽绒及其制品业国有控股工业企业利润总额,石油加工及炼焦业国有控股工业企业利润总额,石油和天然气开采业国有控股工业企业利润总额,纺织业国有控股工业企业利润总额,自来水的生产和供应业国有控股工业企业利润总额,造纸及纸制品业国有控股工业企业利润总额,金属制品业国有控股工业企业利润总额,非金属矿物制造业国有控股工业企业利润总额,非金属矿采选业国有控股工业企业利润总额,食品制造业国有控股工业企业利润总额,食品加工业国有控股工业企业利润总额,饮料制造业国有控股工业企业利润总额,黑色金属冶炼及压延加工业国有控股工业企业利润总额,黑色金属矿采选业国有控股工业企业利润总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,-3.47457,125.87494,2.79821,-0.02756,0.26457,49.533,33.09614,67.83058,17.14557,2408.33,7.61192,0.45847,1.32667,8.96149,35.29528,11.249,2.26916,-1.39177,1.13533,-6.68174,142.44018,-5.20647,-7.33196,378.6873,173.31539,24.59696,-2.46854,-10.44243,1106.57031,31.94156,4.9325,14.94974,2.22769,8.27406,-0.02249,15.37799,0.86745,70.80069,117.43956,0.47427
