,专用设备制造业国有控股工业企业应交所得税,交通运输设备制造业国有控股工业企业应交所得税,仪器仪表及文化办公用机械制造业国有控股工业企业应交所得税,其他矿采选业国有控股工业企业应交所得税,其它制造业国有控股工业企业应交所得税,化学原料及化学制品制造业国有控股工业企业应交所得税,化学纤维制造业国有控股工业企业应交所得税,医药制造业国有控股工业企业应交所得税,印刷业、记录媒介的复制国有控股工业企业应交所得税,国有控股工业企业应交所得税,塑料制品业国有控股工业企业应交所得税,家具制造业国有控股工业企业应交所得税,文教体育用品制造业国有控股工业企业应交所得税,普通机械制造业国有控股工业企业应交所得税,有色金属冶炼及压延加工业国有控股工业企业应交所得税,有色金属矿采选业国有控股工业企业应交所得税,服装及其他纤维制品制造业国有控股工业企业应交所得税,木材加工及竹、藤、棕、草制品业国有控股工业企业应交所得税,木材及竹材采运业国有控股工业企业应交所得税,橡胶制品业国有控股工业企业应交所得税,烟草加工业国有控股工业企业应交所得税,煤气生产和供应业国有控股工业企业应交所得税,煤炭采选业国有控股工业企业应交所得税,电力、蒸汽、热水的生产和供应业国有控股工业企业应交所得税,电子及通信设备制造业国有控股工业企业应交所得税,电气机械及器材制造业国有控股工业企业应交所得税,皮革、毛皮、羽绒及其制品业国有控股工业企业应交所得税,石油加工及炼焦业国有控股工业企业应交所得税,石油和天然气开采业国有控股工业企业应交所得税,纺织业国有控股工业企业应交所得税,自来水的生产和供应业国有控股工业企业应交所得税,造纸及纸制品业国有控股工业企业应交所得税,金属制品业国有控股工业企业应交所得税,非金属矿物制造业国有控股工业企业应交所得税,非金属矿采选业国有控股工业企业应交所得税,食品制造业国有控股工业企业应交所得税,食品加工业国有控股工业企业应交所得税,饮料制造业国有控股工业企业应交所得税,黑色金属冶炼及压延加工业国有控股工业企业应交所得税,黑色金属矿采选业国有控股工业企业应交所得税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,5.97134,25.21952,1.59046,8e-05,0.29062,22.91007,8.13222,13.87015,5.46883,457.65279,1.83558,0.09296,0.5463,7.55003,9.61314,3.84915,0.75887,0.55937,0.83105,1.08134,35.90553,0.85248,7.41644,72.22638,22.09048,7.6069,0.09518,8.97993,84.82083,10.23134,3.41638,4.56982,2.8121,7.26864,1.8988,4.03475,4.27679,20.08159,48.29407,0.23107
2001年,6.75192,35.26822,1.44621,0.0,0.36126,24.21355,4.14806,16.65124,6.06582,502.09637,2.32305,0.20787,0.58901,9.09563,10.38955,3.5205,0.62583,0.65085,0.54422,2.25369,52.04924,1.04972,18.37054,72.07536,18.36747,8.0646,0.42386,8.27125,87.18463,8.36605,4.0665,6.69524,3.01046,8.84809,0.99396,3.72099,5.3825,15.99201,53.21602,0.44349
2002年,7.97758,48.59055,1.3292,0.00016,0.36412,22.2243,3.64731,16.34581,6.12967,567.60287,2.74759,0.17325,0.61016,11.83875,8.29143,3.84503,0.39672,0.58578,0.77081,2.51073,62.40416,1.58324,27.96864,71.95711,15.42582,6.69503,0.1126,16.75303,92.84744,8.47333,2.56986,7.63329,2.26574,8.69461,1.22972,4.84351,5.64733,19.06499,72.26634,0.431
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
