,专用设备制造业国有控股工业企业外商资本金,交通运输设备制造业国有控股工业企业外商资本金,仪器仪表及文化办公用机械制造业国有控股工业企业外商资本金,其他矿采选业国有控股工业企业外商资本金,其它制造业国有控股工业企业外商资本金,化学原料及化学制品制造业国有控股工业企业外商资本金,化学纤维制造业国有控股工业企业外商资本金,医药制造业国有控股工业企业外商资本金,印刷业、记录媒介的复制国有控股工业企业外商资本金,国有控股工业企业外商资本金,塑料制品业国有控股工业企业外商资本金,家具制造业国有控股工业企业外商资本金,文教体育用品制造业国有控股工业企业外商资本金,普通机械制造业国有控股工业企业外商资本金,有色金属冶炼及压延加工业国有控股工业企业外商资本金,有色金属矿采选业国有控股工业企业外商资本金,服装及其他纤维制品制造业国有控股工业企业外商资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业外商资本金,木材及竹材采运业国有控股工业企业外商资本金,橡胶制品业国有控股工业企业外商资本金,烟草加工业国有控股工业企业外商资本金,煤气生产和供应业国有控股工业企业外商资本金,煤炭采选业国有控股工业企业外商资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业外商资本金,电子及通信设备制造业国有控股工业企业外商资本金,电气机械及器材制造业国有控股工业企业外商资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业外商资本金,石油加工及炼焦业国有控股工业企业外商资本金,石油和天然气开采业国有控股工业企业外商资本金,纺织业国有控股工业企业外商资本金,自来水的生产和供应业国有控股工业企业外商资本金,造纸及纸制品业国有控股工业企业外商资本金,金属制品业国有控股工业企业外商资本金,非金属矿物制造业国有控股工业企业外商资本金,非金属矿采选业国有控股工业企业外商资本金,食品制造业国有控股工业企业外商资本金,食品加工业国有控股工业企业外商资本金,饮料制造业国有控股工业企业外商资本金,黑色金属冶炼及压延加工业国有控股工业企业外商资本金,黑色金属矿采选业国有控股工业企业外商资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,9.05176,220.21332,7.22819,0.0,0.70552,37.02774,5.33707,14.87391,3.30613,665.9142,4.59425,1.17845,0.39961,57.41226,9.51114,0.0,3.94776,1.79833,0.0096,2.36473,0.96847,0.37,2.09774,26.97026,94.52791,34.86943,1.08562,3.3087,0.0,13.97962,0.04725,5.79483,6.25212,21.76208,0.5033,9.35129,16.33682,27.59957,21.12942,0.0
2001年,12.3267,234.867,5.80214,0.0,0.81849,34.50773,6.67954,16.55866,4.23281,766.25908,3.55856,0.31515,0.20924,70.95268,9.21038,0.1695,6.34199,4.98164,0.0096,2.75174,1.82497,2.14347,2.51677,59.13855,87.68605,39.53674,1.38819,13.0731,0.0,14.80718,1.69965,6.39438,10.07826,24.9476,0.69438,14.16398,12.06541,36.87099,22.81789,0.01007
2002年,11.81957,241.44572,6.30916,0.0,0.3922,42.12875,21.54307,16.41776,4.49502,832.33303,3.466,0.31753,0.38593,71.07164,6.76756,0.06738,2.89507,4.24763,0.0096,4.31819,0.0,5.2093,1.75211,78.44269,88.47639,47.15354,2.04434,14.10698,25.13507,13.89356,2.96586,6.56853,9.53988,20.97059,2.25972,9.00847,7.92844,36.64304,22.04674,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
