,专用设备制造业国有控股工业企业累计折旧,交通运输设备制造业国有控股工业企业累计折旧,仪器仪表及文化办公用机械制造业国有控股工业企业累计折旧,其他矿采选业国有控股工业企业累计折旧,其它制造业国有控股工业企业累计折旧,化学原料及化学制品制造业国有控股工业企业累计折旧,化学纤维制造业国有控股工业企业累计折旧,医药制造业国有控股工业企业累计折旧,印刷业、记录媒介的复制国有控股工业企业累计折旧,国有控股工业企业累计折旧,塑料制品业国有控股工业企业累计折旧,家具制造业国有控股工业企业累计折旧,文教体育用品制造业国有控股工业企业累计折旧,普通机械制造业国有控股工业企业累计折旧,有色金属冶炼及压延加工业国有控股工业企业累计折旧,有色金属矿采选业国有控股工业企业累计折旧,服装及其他纤维制品制造业国有控股工业企业累计折旧,木材加工及竹、藤、棕、草制品业国有控股工业企业累计折旧,木材及竹材采运业国有控股工业企业累计折旧,橡胶制品业国有控股工业企业累计折旧,烟草加工业国有控股工业企业累计折旧,煤气生产和供应业国有控股工业企业累计折旧,煤炭采选业国有控股工业企业累计折旧,电力、蒸汽、热水的生产和供应业国有控股工业企业累计折旧,电子及通信设备制造业国有控股工业企业累计折旧,电气机械及器材制造业国有控股工业企业累计折旧,皮革、毛皮、羽绒及其制品业国有控股工业企业累计折旧,石油加工及炼焦业国有控股工业企业累计折旧,石油和天然气开采业国有控股工业企业累计折旧,纺织业国有控股工业企业累计折旧,自来水的生产和供应业国有控股工业企业累计折旧,造纸及纸制品业国有控股工业企业累计折旧,金属制品业国有控股工业企业累计折旧,非金属矿物制造业国有控股工业企业累计折旧,非金属矿采选业国有控股工业企业累计折旧,食品制造业国有控股工业企业累计折旧,食品加工业国有控股工业企业累计折旧,饮料制造业国有控股工业企业累计折旧,黑色金属冶炼及压延加工业国有控股工业企业累计折旧,黑色金属矿采选业国有控股工业企业累计折旧
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,387.92878,969.43365,81.01956,0.21795,11.27286,1508.45718,347.56417,201.97585,118.46585,19656.20081,74.82684,6.93048,9.76908,521.13463,476.48769,104.12814,29.58904,40.44263,66.23808,93.51497,291.0593,112.69996,921.55557,4230.94993,425.18804,266.74922,17.08239,1146.5805,2404.90879,552.48915,321.15183,150.37778,103.50481,593.77384,86.89017,100.45939,258.19647,214.44629,2221.9654,47.85614
2001年,387.5664,1128.17296,85.90676,0.17406,12.23027,1622.86772,255.58193,214.31753,132.22971,22193.95782,85.58794,7.57949,9.89469,521.85793,522.47734,108.36672,29.54083,43.19549,63.80595,101.09157,355.09385,116.48211,1062.09118,5156.82331,467.94798,298.20336,16.95783,1364.74329,2876.27642,542.11322,371.66152,161.14263,111.52987,580.67711,95.95611,103.21146,247.13781,225.19149,2523.58089,50.5695
2002年,383.61924,1186.17063,82.43649,0.18345,10.36429,1765.88366,269.17377,230.65046,132.48198,23759.26068,76.46567,6.7921,10.70174,556.70608,565.24439,107.25149,25.34548,50.04539,65.17039,96.12392,400.69944,134.87909,1203.69523,5586.19544,504.02024,293.12592,14.28262,1473.9786,3174.31657,520.70653,428.23543,177.62229,117.13048,603.27442,98.43383,112.51327,222.52103,244.95011,2625.82803,60.45437
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
