,专用设备制造业国有控股工业企业销售费用,交通运输设备制造业国有控股工业企业销售费用,仪器仪表及文化办公用机械制造业国有控股工业企业销售费用,其他矿采选业国有控股工业企业销售费用,其它制造业国有控股工业企业销售费用,化学原料及化学制品制造业国有控股工业企业销售费用,化学纤维制造业国有控股工业企业销售费用,医药制造业国有控股工业企业销售费用,印刷业、记录媒介的复制国有控股工业企业销售费用,国有控股工业企业销售费用,塑料制品业国有控股工业企业销售费用,家具制造业国有控股工业企业销售费用,文教体育用品制造业国有控股工业企业销售费用,普通机械制造业国有控股工业企业销售费用,有色金属冶炼及压延加工业国有控股工业企业销售费用,有色金属矿采选业国有控股工业企业销售费用,服装及其他纤维制品制造业国有控股工业企业销售费用,木材加工及竹、藤、棕、草制品业国有控股工业企业销售费用,木材及竹材采运业国有控股工业企业销售费用,橡胶制品业国有控股工业企业销售费用,烟草加工业国有控股工业企业销售费用,煤气生产和供应业国有控股工业企业销售费用,煤炭采选业国有控股工业企业销售费用,电力、蒸汽、热水的生产和供应业国有控股工业企业销售费用,电子及通信设备制造业国有控股工业企业销售费用,电气机械及器材制造业国有控股工业企业销售费用,皮革、毛皮、羽绒及其制品业国有控股工业企业销售费用,石油加工及炼焦业国有控股工业企业销售费用,石油和天然气开采业国有控股工业企业销售费用,纺织业国有控股工业企业销售费用,自来水的生产和供应业国有控股工业企业销售费用,造纸及纸制品业国有控股工业企业销售费用,金属制品业国有控股工业企业销售费用,非金属矿物制造业国有控股工业企业销售费用,非金属矿采选业国有控股工业企业销售费用,食品制造业国有控股工业企业销售费用,食品加工业国有控股工业企业销售费用,饮料制造业国有控股工业企业销售费用,黑色金属冶炼及压延加工业国有控股工业企业销售费用,黑色金属矿采选业国有控股工业企业销售费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,33.79038,103.45168,9.53817,0.02493,2.42781,76.73377,8.89722,122.93485,4.82396,1178.06025,6.80591,1.11356,1.35137,46.94726,15.64826,4.35771,4.7551,3.83014,1.99002,9.67577,16.08385,10.10307,77.95725,21.9349,120.47963,55.06354,1.70541,32.17384,7.6661,26.6282,10.81681,12.95985,11.24708,60.44457,10.98204,34.77635,43.39474,95.28135,60.02332,3.51691
