,专用设备制造业国有控股工业企业集体资本金,交通运输设备制造业国有控股工业企业集体资本金,仪器仪表及文化办公用机械制造业国有控股工业企业集体资本金,其他矿采选业国有控股工业企业集体资本金,其它制造业国有控股工业企业集体资本金,化学原料及化学制品制造业国有控股工业企业集体资本金,化学纤维制造业国有控股工业企业集体资本金,医药制造业国有控股工业企业集体资本金,印刷业、记录媒介的复制国有控股工业企业集体资本金,国有控股工业企业集体资本金,塑料制品业国有控股工业企业集体资本金,家具制造业国有控股工业企业集体资本金,文教体育用品制造业国有控股工业企业集体资本金,普通机械制造业国有控股工业企业集体资本金,有色金属冶炼及压延加工业国有控股工业企业集体资本金,有色金属矿采选业国有控股工业企业集体资本金,服装及其他纤维制品制造业国有控股工业企业集体资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业集体资本金,木材及竹材采运业国有控股工业企业集体资本金,橡胶制品业国有控股工业企业集体资本金,烟草加工业国有控股工业企业集体资本金,煤气生产和供应业国有控股工业企业集体资本金,煤炭采选业国有控股工业企业集体资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业集体资本金,电子及通信设备制造业国有控股工业企业集体资本金,电气机械及器材制造业国有控股工业企业集体资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业集体资本金,石油加工及炼焦业国有控股工业企业集体资本金,石油和天然气开采业国有控股工业企业集体资本金,纺织业国有控股工业企业集体资本金,自来水的生产和供应业国有控股工业企业集体资本金,造纸及纸制品业国有控股工业企业集体资本金,金属制品业国有控股工业企业集体资本金,非金属矿物制造业国有控股工业企业集体资本金,非金属矿采选业国有控股工业企业集体资本金,食品制造业国有控股工业企业集体资本金,食品加工业国有控股工业企业集体资本金,饮料制造业国有控股工业企业集体资本金,黑色金属冶炼及压延加工业国有控股工业企业集体资本金,黑色金属矿采选业国有控股工业企业集体资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,14.91586,17.04231,1.80365,0.06851,0.44499,9.43119,0.41712,5.8082,1.87733,161.1503,3.43573,0.39091,0.26872,6.45244,4.72743,1.3531,1.03971,1.22263,0.09498,1.27365,0.29911,0.05581,1.61368,10.96095,8.17529,11.34825,0.76473,1.10699,0.42567,9.69906,1.81018,2.14674,4.0936,14.30439,1.2421,2.47292,9.57413,4.13201,4.50126,0.22467
