,专用设备制造业国有控股工业企业单位数,交通运输设备制造业国有控股工业企业单位数,仪器仪表及文化办公用机械制造业国有控股工业企业单位数,其他矿采选业国有控股工业企业单位数,其它制造业国有控股工业企业单位数,化学原料及化学制品制造业国有控股工业企业单位数,化学纤维制造业国有控股工业企业单位数,医药制造业国有控股工业企业单位数,印刷业、记录媒介的复制国有控股工业企业单位数,国有控股工业企业单位数,塑料制品业国有控股工业企业单位数,家具制造业国有控股工业企业单位数,文教体育用品制造业国有控股工业企业单位数,普通机械制造业国有控股工业企业单位数,有色金属冶炼及压延加工业国有控股工业企业单位数,有色金属矿采选业国有控股工业企业单位数,服装及其他纤维制品制造业国有控股工业企业单位数,木材加工及竹、藤、棕、草制品业国有控股工业企业单位数,木材及竹材采运业国有控股工业企业单位数,橡胶制品业国有控股工业企业单位数,烟草加工业国有控股工业企业单位数,煤气生产和供应业国有控股工业企业单位数,煤炭采选业国有控股工业企业单位数,电力、蒸汽、热水的生产和供应业国有控股工业企业单位数,电子及通信设备制造业国有控股工业企业单位数,电气机械及器材制造业国有控股工业企业单位数,皮革、毛皮、羽绒及其制品业国有控股工业企业单位数,石油加工及炼焦业国有控股工业企业单位数,石油和天然气开采业国有控股工业企业单位数,纺织业国有控股工业企业单位数,自来水的生产和供应业国有控股工业企业单位数,造纸及纸制品业国有控股工业企业单位数,金属制品业国有控股工业企业单位数,非金属矿物制造业国有控股工业企业单位数,非金属矿采选业国有控股工业企业单位数,食品制造业国有控股工业企业单位数,食品加工业国有控股工业企业单位数,饮料制造业国有控股工业企业单位数,黑色金属冶炼及压延加工业国有控股工业企业单位数,黑色金属矿采选业国有控股工业企业单位数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,2622.0,2747.0,710.0,8.0,462.0,3692.0,233.0,1496.0,2148.0,53489.0,967.0,239.0,268.0,2761.0,608.0,662.0,638.0,638.0,486.0,374.0,299.0,252.0,1321.0,4128.0,1330.0,1684.0,331.0,281.0,67.0,2631.0,2231.0,1028.0,1426.0,4279.0,621.0,2071.0,5082.0,1663.0,702.0,179.0
