,专用设备制造业国有控股工业企业个人资本金,交通运输设备制造业国有控股工业企业个人资本金,仪器仪表及文化办公用机械制造业国有控股工业企业个人资本金,其他矿采选业国有控股工业企业个人资本金,其它制造业国有控股工业企业个人资本金,化学原料及化学制品制造业国有控股工业企业个人资本金,化学纤维制造业国有控股工业企业个人资本金,医药制造业国有控股工业企业个人资本金,印刷业、记录媒介的复制国有控股工业企业个人资本金,国有控股工业企业个人资本金,塑料制品业国有控股工业企业个人资本金,家具制造业国有控股工业企业个人资本金,文教体育用品制造业国有控股工业企业个人资本金,普通机械制造业国有控股工业企业个人资本金,有色金属冶炼及压延加工业国有控股工业企业个人资本金,有色金属矿采选业国有控股工业企业个人资本金,服装及其他纤维制品制造业国有控股工业企业个人资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业个人资本金,木材及竹材采运业国有控股工业企业个人资本金,橡胶制品业国有控股工业企业个人资本金,烟草加工业国有控股工业企业个人资本金,煤气生产和供应业国有控股工业企业个人资本金,煤炭采选业国有控股工业企业个人资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业个人资本金,电子及通信设备制造业国有控股工业企业个人资本金,电气机械及器材制造业国有控股工业企业个人资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业个人资本金,石油加工及炼焦业国有控股工业企业个人资本金,石油和天然气开采业国有控股工业企业个人资本金,纺织业国有控股工业企业个人资本金,自来水的生产和供应业国有控股工业企业个人资本金,造纸及纸制品业国有控股工业企业个人资本金,金属制品业国有控股工业企业个人资本金,非金属矿物制造业国有控股工业企业个人资本金,非金属矿采选业国有控股工业企业个人资本金,食品制造业国有控股工业企业个人资本金,食品加工业国有控股工业企业个人资本金,饮料制造业国有控股工业企业个人资本金,黑色金属冶炼及压延加工业国有控股工业企业个人资本金,黑色金属矿采选业国有控股工业企业个人资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,25.54547,47.36059,3.80137,0.00257,0.79639,65.85994,27.72805,48.13003,6.26838,612.4344,5.42117,0.51333,1.17631,29.73223,9.47813,3.33245,3.42499,3.50206,0.07977,6.0932,0.07986,1.72021,2.95333,29.99554,60.53164,26.2863,0.54343,12.68748,1.15613,30.31627,3.44931,17.9526,6.88839,37.48451,3.47321,8.22772,17.09249,22.54488,39.65772,1.12975
2001年,24.75603,44.34574,5.62268,0.0,0.90548,94.95317,21.81303,53.22597,8.83763,680.46987,5.74643,1.01021,1.35545,30.14756,13.01853,2.30454,2.02174,3.07315,0.16606,5.87628,0.08958,1.60436,3.76357,35.2444,56.66031,26.06433,1.75782,16.99152,6.93878,32.04972,2.61261,19.9962,8.25738,35.55123,1.87702,8.2566,15.4702,24.57867,61.99292,1.51387
2002年,21.61218,41.93043,6.83986,0.0,0.99581,76.52241,22.15689,53.40413,5.73806,667.55542,7.74975,0.04283,0.61412,30.87218,15.79272,2.53645,0.91693,3.48481,0.17504,6.75441,0.08076,2.11895,5.89868,35.73668,57.07864,21.66679,0.41148,15.66403,7.40318,32.82729,3.3595,19.91289,9.35615,38.02441,1.49722,12.5279,16.55974,29.74121,58.12875,1.26798
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
