,专用设备制造业国有控股工业企业营业利润,交通运输设备制造业国有控股工业企业营业利润,仪器仪表及文化办公用机械制造业国有控股工业企业营业利润,其他矿采选业国有控股工业企业营业利润,其它制造业国有控股工业企业营业利润,化学原料及化学制品制造业国有控股工业企业营业利润,化学纤维制造业国有控股工业企业营业利润,医药制造业国有控股工业企业营业利润,印刷业、记录媒介的复制国有控股工业企业营业利润,国有控股工业企业营业利润,塑料制品业国有控股工业企业营业利润,家具制造业国有控股工业企业营业利润,文教体育用品制造业国有控股工业企业营业利润,普通机械制造业国有控股工业企业营业利润,有色金属冶炼及压延加工业国有控股工业企业营业利润,有色金属矿采选业国有控股工业企业营业利润,服装及其他纤维制品制造业国有控股工业企业营业利润,木材加工及竹、藤、棕、草制品业国有控股工业企业营业利润,木材及竹材采运业国有控股工业企业营业利润,橡胶制品业国有控股工业企业营业利润,烟草加工业国有控股工业企业营业利润,煤气生产和供应业国有控股工业企业营业利润,煤炭采选业国有控股工业企业营业利润,电力、蒸汽、热水的生产和供应业国有控股工业企业营业利润,电子及通信设备制造业国有控股工业企业营业利润,电气机械及器材制造业国有控股工业企业营业利润,皮革、毛皮、羽绒及其制品业国有控股工业企业营业利润,石油加工及炼焦业国有控股工业企业营业利润,石油和天然气开采业国有控股工业企业营业利润,纺织业国有控股工业企业营业利润,自来水的生产和供应业国有控股工业企业营业利润,造纸及纸制品业国有控股工业企业营业利润,金属制品业国有控股工业企业营业利润,非金属矿物制造业国有控股工业企业营业利润,非金属矿采选业国有控股工业企业营业利润,食品制造业国有控股工业企业营业利润,食品加工业国有控股工业企业营业利润,饮料制造业国有控股工业企业营业利润,黑色金属冶炼及压延加工业国有控股工业企业营业利润,黑色金属矿采选业国有控股工业企业营业利润
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,-14.32672,91.10153,-0.60098,-0.01752,-0.39031,20.78477,31.97451,59.80611,13.0178,2093.70912,4.73209,-0.05572,0.35872,-6.22781,39.97357,6.06955,0.99801,-4.23749,4.62554,-7.70262,101.52224,-24.46726,-28.92683,397.57137,118.0491,9.53293,-3.41606,-29.85588,1157.18185,20.1752,-2.77203,8.33275,-0.24723,-6.05064,-0.47921,10.91728,-4.97208,64.02061,90.79172,0.05257
2001年,-11.87624,129.36384,-0.92546,0.00213,-0.4326,-43.23893,1.27294,59.29304,16.14899,1951.61253,8.29692,-0.19658,0.82167,-2.23107,26.75988,3.60391,0.13501,-2.5228,1.90317,-1.36381,161.46471,-19.02347,8.9617,426.19161,83.39008,7.8274,1.18778,-44.74424,948.40229,-14.04658,-4.69115,9.06188,-0.1456,-3.52931,-2.04722,10.62097,7.16845,59.07311,147.84425,0.82299
2002年,-2.24174,253.3254,-0.63677,0.00659,1.06836,10.74236,6.53034,68.99651,16.09759,2325.53955,8.3497,-0.16815,0.81956,32.82816,29.02363,6.37102,0.5049,-2.95902,3.52608,-0.06079,201.24624,-17.5984,41.5272,371.21196,68.66811,5.52178,-2.63173,40.36003,885.26459,-3.07911,-13.58609,16.15646,3.35627,-8.11105,0.07926,20.39909,6.05889,61.90637,229.01821,0.82258
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
