,专用设备制造业国有控股工业企业资产总计,交通运输设备制造业国有控股工业企业资产总计,仪器仪表及文化办公用机械制造业国有控股工业企业资产总计,其他矿采选业国有控股工业企业资产总计,其它制造业国有控股工业企业资产总计,化学原料及化学制品制造业国有控股工业企业资产总计,化学纤维制造业国有控股工业企业资产总计,医药制造业国有控股工业企业资产总计,印刷业、记录媒介的复制国有控股工业企业资产总计,国有控股工业企业资产总计,塑料制品业国有控股工业企业资产总计,家具制造业国有控股工业企业资产总计,文教体育用品制造业国有控股工业企业资产总计,普通机械制造业国有控股工业企业资产总计,有色金属冶炼及压延加工业国有控股工业企业资产总计,有色金属矿采选业国有控股工业企业资产总计,服装及其他纤维制品制造业国有控股工业企业资产总计,木材加工及竹、藤、棕、草制品业国有控股工业企业资产总计,木材及竹材采运业国有控股工业企业资产总计,橡胶制品业国有控股工业企业资产总计,烟草加工业国有控股工业企业资产总计,煤气生产和供应业国有控股工业企业资产总计,煤炭采选业国有控股工业企业资产总计,电力、蒸汽、热水的生产和供应业国有控股工业企业资产总计,电子及通信设备制造业国有控股工业企业资产总计,电气机械及器材制造业国有控股工业企业资产总计,皮革、毛皮、羽绒及其制品业国有控股工业企业资产总计,石油加工及炼焦业国有控股工业企业资产总计,石油和天然气开采业国有控股工业企业资产总计,纺织业国有控股工业企业资产总计,自来水的生产和供应业国有控股工业企业资产总计,造纸及纸制品业国有控股工业企业资产总计,金属制品业国有控股工业企业资产总计,非金属矿物制造业国有控股工业企业资产总计,非金属矿采选业国有控股工业企业资产总计,食品制造业国有控股工业企业资产总计,食品加工业国有控股工业企业资产总计,饮料制造业国有控股工业企业资产总计,黑色金属冶炼及压延加工业国有控股工业企业资产总计,黑色金属矿采选业国有控股工业企业资产总计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,2061.48467,6358.65704,480.50292,1.47781,85.17461,6034.00092,1259.01399,1702.68168,498.72212,84014.94,462.84744,54.1472,89.99353,2906.69248,2057.48727,407.53596,219.57463,266.78079,400.1638,567.79251,1937.53103,572.43194,3587.53431,16588.55987,3832.98611,1871.51819,112.776,3418.05259,4041.55045,2734.83149,1375.47075,1125.71854,611.87335,2976.43724,514.992,692.27925,1564.5254,1608.12659,7970.32081,254.46483
2001年,1931.31515,6847.33767,504.52905,0.76345,80.31241,6041.7844,968.45781,1858.45701,520.51066,87901.54,499.48562,52.46389,84.36359,2878.29614,2230.79133,401.82636,202.59107,274.9375,396.77292,550.28499,2425.76486,587.40124,3980.49163,18536.44568,3921.27064,1915.96571,108.80181,3527.09778,4106.50728,2523.40165,1496.36551,1182.98153,643.40228,2814.15939,539.24678,678.93579,1385.22914,1660.21599,8602.2959,257.97833
2002年,1990.76707,7377.28467,486.86403,0.81921,74.95324,6117.88649,903.08695,1934.98024,511.01965,89094.6,452.00016,43.60283,74.72261,2909.68197,2259.63404,390.14623,176.36799,248.91892,399.72067,531.1044,2532.58624,651.83984,4454.21044,19746.2052,3800.484,1833.06812,83.4348,3302.40023,4263.81248,2306.68765,1684.43325,1211.96324,576.81422,2725.33549,550.01117,704.2894,1228.03328,1639.65909,7913.38828,286.1922
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
