,专用设备制造业国有控股工业企业存货,交通运输设备制造业国有控股工业企业存货,仪器仪表及文化办公用机械制造业国有控股工业企业存货,其他矿采选业国有控股工业企业存货,其它制造业国有控股工业企业存货,化学原料及化学制品制造业国有控股工业企业存货,化学纤维制造业国有控股工业企业存货,医药制造业国有控股工业企业存货,印刷业、记录媒介的复制国有控股工业企业存货,国有控股工业企业存货,塑料制品业国有控股工业企业存货,家具制造业国有控股工业企业存货,文教体育用品制造业国有控股工业企业存货,普通机械制造业国有控股工业企业存货,有色金属冶炼及压延加工业国有控股工业企业存货,有色金属矿采选业国有控股工业企业存货,服装及其他纤维制品制造业国有控股工业企业存货,木材加工及竹、藤、棕、草制品业国有控股工业企业存货,木材及竹材采运业国有控股工业企业存货,橡胶制品业国有控股工业企业存货,烟草加工业国有控股工业企业存货,煤气生产和供应业国有控股工业企业存货,煤炭采选业国有控股工业企业存货,电力、蒸汽、热水的生产和供应业国有控股工业企业存货,电子及通信设备制造业国有控股工业企业存货,电气机械及器材制造业国有控股工业企业存货,皮革、毛皮、羽绒及其制品业国有控股工业企业存货,石油加工及炼焦业国有控股工业企业存货,石油和天然气开采业国有控股工业企业存货,纺织业国有控股工业企业存货,自来水的生产和供应业国有控股工业企业存货,造纸及纸制品业国有控股工业企业存货,金属制品业国有控股工业企业存货,非金属矿物制造业国有控股工业企业存货,非金属矿采选业国有控股工业企业存货,食品制造业国有控股工业企业存货,食品加工业国有控股工业企业存货,饮料制造业国有控股工业企业存货,黑色金属冶炼及压延加工业国有控股工业企业存货,黑色金属矿采选业国有控股工业企业存货
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,462.03838,1069.87334,91.78478,0.22426,20.46812,555.90862,121.65704,219.83855,53.20459,8849.74874,53.92731,8.03386,13.41566,574.4734,304.12687,41.28145,46.03307,29.51307,36.14432,83.7703,337.07373,20.10001,228.21535,197.8367,713.71888,325.99055,29.74409,452.43422,102.71037,494.57376,14.58374,122.032,106.72516,312.32801,37.6887,75.672,210.18919,282.12131,875.59641,17.29422
2001年,428.9541,1161.51981,93.84668,0.0663,19.19285,532.62993,85.81017,230.10685,55.14228,9013.42107,57.88484,8.98106,13.15505,574.72783,328.97458,38.42266,40.44732,30.98564,31.99083,80.79584,673.06565,18.9205,225.84966,190.98949,634.93104,334.31246,30.41015,394.90522,96.85515,447.30994,15.68306,121.17933,107.41187,294.10899,36.05033,73.64777,184.48154,287.72946,913.94611,17.41851
2002年,432.6086,1236.86866,87.91156,0.06781,16.76077,514.28513,78.1233,219.76343,50.42697,8774.40387,51.49777,6.29971,12.42088,590.23268,326.09034,32.82059,31.07029,24.40095,31.2325,72.63751,729.84037,21.50606,238.01217,198.0386,550.17529,316.11666,21.8387,396.95036,106.66767,384.4219,15.34145,117.79329,101.00151,285.62935,37.09679,66.58765,166.4899,271.82886,811.47416,18.56199
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
