,中外合作经营企业批发业企业商品出口额,中外合资经营企业批发业企业商品出口额,其他企业批发业企业商品出口额,其他外商投资企业批发业企业商品出口额,其他有限责任公司批发业企业商品出口额,其他港澳台商投资企业批发业企业商品出口额,其他联营企业批发业企业商品出口额,内资企业批发业企业商品出口额,国有与集体联营企业批发业企业商品出口额,国有企业批发业企业商品出口额,国有独资公司批发业企业商品出口额,国有联营企业批发业企业商品出口额,外商投资企业批发业企业商品出口额,外商投资股份有限公司批发业企业商品出口额,外资企业批发业企业商品出口额,批发业企业商品出口额,有限责任公司批发业企业商品出口额,港澳台商合作经营企业批发业企业商品出口额,港澳台商合资经营企业批发业企业商品出口额,港澳台商投资企业批发业企业商品出口额,港澳台商投资股份有限公司批发业企业商品出口额,港澳台商独资经营企业批发业企业商品出口额,私营企业批发业企业商品出口额,私营合伙企业批发业企业商品出口额,私营有限责任公司批发业企业商品出口额,私营独资企业批发业企业商品出口额,私营股份有限公司批发业企业商品出口额,联营企业批发业企业商品出口额,股份合作企业批发业企业商品出口额,股份有限公司批发业企业商品出口额,集体企业批发业企业商品出口额,集体联营企业批发业企业商品出口额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13819.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.70681,129.39155,47.1934,0.0,3549.92348,0.0,12.33891,9978.32329,10.13623,1654.0632,343.25241,18.95818,1023.23605,5.90705,887.23064,11152.0,3893.17589,0.59518,20.58646,150.42263,0.13515,129.10584,3195.46551,48.29447,2917.11492,102.53828,127.51784,44.82048,21.29115,977.09435,145.21931,3.38716
2010年,1.04431,195.19711,36.22375,0.0,4511.47068,0.0,9.71398,12470.39623,10.13177,1918.90442,379.33444,25.66383,1501.5633,4.98074,1300.34114,14380.3,4890.80512,0.0,29.48746,408.34785,2.02061,376.83978,4207.85708,50.75249,3898.9116,106.35846,151.83453,50.3531,13.15121,1172.01122,181.09033,4.84352
2011年,0.4492,304.2428,117.4845,0.0,5514.9504,0.0,14.6858,15155.0888,7.367,2216.5893,494.5503,16.6371,1864.9334,29.8691,1530.3485,17740.9164,6009.5006,1.4861,31.1142,720.8942,1.685,686.6089,5238.8943,49.7037,4886.6279,117.2463,185.3164,45.7383,30.8877,1373.3195,122.6745,7.0484
2012年,0.06883,191.61104,115.79944,1.08469,6069.00773,0.0,2.71177,17049.01347,4.25589,2876.83183,544.54115,23.39079,1966.75028,34.12409,1739.86163,19939.83822,6613.54888,0.78979,44.88374,924.07447,1.77377,876.62717,5768.98594,48.05896,5439.26903,137.41414,144.24381,35.49567,18.0139,1520.73042,99.60739,5.13722
2013年,0.41413,198.99001,17.99217,0.0,7801.27119,0.0,0.0,19058.24687,0.37364,1368.57425,770.01592,2.80851,2187.89517,4.33564,1984.15539,22402.79177,8571.28711,1.55493,53.78238,1156.64973,1.10947,1100.20295,6825.44971,4.64903,6626.16492,11.16911,183.46665,3.59991,3.8911,2165.63602,101.8166,0.41776
2014年,0.51578,248.24937,16.49424,0.75216,7874.65866,0.0,0.0,19488.36447,0.72321,977.30507,903.02833,0.0,1913.91518,3.07675,1661.32112,22909.3969,8777.68699,12.26621,118.33862,1507.11724,1.46613,1375.04628,7223.70408,5.84241,7043.85388,5.88909,168.1187,1.03715,9.4841,2443.40516,39.24768,0.31394
