,其他批发商品出口额,农畜产品批发商品出口额,化肥批发商品出口额,医药及医疗器材批发商品出口额,家用电器批发商品出口额,建材批发商品出口额,文化、体育用品及器材批发商品出口额,服装批发商品出口额,机械设备、五金交电及电子产品批发商品出口额,汽车、摩托车及零配件批发商品出口额,烟草制品批发商品出口额,煤炭及制品批发商品出口额,石油及制品批发商品出口额,矿产品、建材及化工产品批发商品出口额,米、面制品及食用油批发商品出口额,纺织、服装及日用品批发商品出口额,计算机、软件及辅助设备批发商品出口额,贸易经纪与代理商品出口额,金属及金属矿批发商品出口额,食品、饮料及烟草制品批发商品出口额
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,340.13647,113.96172,32.64715,142.69266,238.57973,303.66612,192.16687,1687.77132,3042.98482,277.59335,59.05946,100.13982,182.87844,1948.09931,110.58368,4148.16868,178.14357,765.78562,707.61575,457.98582
2010年,626.28698,141.44994,75.77621,162.03222,525.76394,395.56789,229.22121,1928.98124,3779.25714,387.51865,32.00655,91.75724,378.52637,3012.02104,109.30269,4983.83239,224.39511,935.63276,1034.48457,510.5737
2011年,953.2957,135.533,118.1227,226.8347,673.7971,396.8983,296.355,2406.2237,4724.2929,602.8668,44.5179,100.0421,524.7172,3726.553,133.9991,6010.1131,318.2605,1081.0634,1410.6567,586.8755
2012年,1124.63745,110.29519,147.60308,283.49343,748.46136,473.66296,427.74792,2446.97096,4352.47947,312.17958,26.14094,273.69126,764.87611,4986.3523,124.47347,7007.63724,289.22787,1075.70593,1917.26837,571.48929
2013年,1405.81261,123.37762,175.67899,243.93287,845.64361,527.38552,511.30642,2781.65908,4687.76345,430.19422,26.02042,131.09,727.83594,5765.24985,213.3492,7784.60371,237.47812,1194.74889,2249.79815,685.99635
2014年,1541.0478,121.76665,198.18992,269.93829,452.56432,606.43496,591.6379,2744.77,4692.56552,414.75891,43.68822,160.25438,949.44995,6364.45405,203.23694,7361.40673,281.1206,1254.8576,2285.62296,711.72235
