,中外合作经营企业批发业企业商品销售额,中外合资经营企业批发业企业商品销售额,其他企业批发业企业商品销售额,其他外商投资企业批发业企业商品销售额,其他有限责任公司批发业企业商品销售额,其他港澳台商投资企业批发业企业商品销售额,其他联营企业批发业企业商品销售额,内资企业批发业企业商品销售额,国有与集体联营企业批发业企业商品销售额,国有企业批发业企业商品销售额,国有独资公司批发业企业商品销售额,国有联营企业批发业企业商品销售额,外商投资企业批发业企业商品销售额,外商投资股份有限公司批发业企业商品销售额,外资企业批发业企业商品销售额,批发业企业商品销售额,有限责任公司批发业企业商品销售额,港澳台商合作经营企业批发业企业商品销售额,港澳台商合资经营企业批发业企业商品销售额,港澳台商投资企业批发业企业商品销售额,港澳台商投资股份有限公司批发业企业商品销售额,港澳台商独资经营企业批发业企业商品销售额,私营企业批发业企业商品销售额,私营合伙企业批发业企业商品销售额,私营有限责任公司批发业企业商品销售额,私营独资企业批发业企业商品销售额,私营股份有限公司批发业企业商品销售额,联营企业批发业企业商品销售额,股份合作企业批发业企业商品销售额,股份有限公司批发业企业商品销售额,集体企业批发业企业商品销售额,集体联营企业批发业企业商品销售额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22614.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26947.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28935.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32420.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38924.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,555.58384,1297.53667,48.36631,0.0,17493.60318,0.0,61.79407,66521.85106,108.90649,18573.86524,2456.66168,355.17434,4734.22801,101.7697,2779.3378,71988.6,19950.26486,40.7412,216.26717,732.47496,24.3599,451.10669,13479.55211,142.71447,12611.04612,264.59773,461.19379,561.41843,638.28026,11689.5246,1580.57925,35.54353
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75510.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,4131.01683,41.06284,204.98642,0.0,20800.44299,5434.74992,104.53386,81052.91372,76.41698,23317.19262,2025.35779,311.09038,1133.09732,0.0,129.57293,87594.3,22825.80078,58.08932,297.88861,1106.66961,35.25702,715.43466,17001.39673,107.57708,15991.54832,219.15223,683.1191,521.01455,560.85095,14928.48344,1693.18823,28.97333
2007年,38.04325,2068.78848,350.46777,0.0,24537.98694,0.0,109.55128,96675.68827,109.36444,26674.54594,4390.08253,315.97705,7380.12478,400.33489,4872.95816,105619.9,28928.06947,83.16883,345.50729,1564.07013,43.15985,1092.23416,21052.25461,124.17166,19427.61541,553.74959,946.71795,560.20091,463.45666,16924.32016,1722.37275,25.30814
2008年,913.3935,2777.0882,719.1677,0.0,38376.9828,0.0,85.1295,152165.147,116.823,32905.361,7635.3403,421.2476,14033.6764,124.4494,10218.7454,170260.2,46012.3231,122.2028,1085.898,4061.3848,126.4848,2726.7993,45970.0938,677.7792,41100.047,2183.1288,2009.1388,677.0266,798.9068,22577.1376,2505.1305,53.8265
2009年,41.34141,3080.94567,712.0417,0.0,37549.37247,0.0,74.20797,141429.29681,128.34603,33018.0665,5419.50807,215.71942,12429.30493,69.43106,9237.58679,157834.6,42968.88054,59.33154,1026.30113,3976.0091,181.1328,2709.24363,38631.05064,426.62282,35151.14026,1653.2143,1400.07326,433.26829,608.11138,22302.97181,2754.90595,14.99487
2010年,859.5,4916.6,1038.6,0.0,53381.0,0.0,133.0,194037.9,120.9,45027.0,8498.3,306.3,19530.5,65.4,13689.0,219121.1,61879.3,83.2,1196.5,5552.7,264.9,4008.1,54903.9,617.6,50198.9,2143.1,1944.4,600.5,815.0,27337.5,2436.0,40.3
2011年,1076.5102,6364.7131,2991.6035,4.8163,76325.6156,6.9389,122.9443,251717.1562,186.47,56964.9317,10159.4975,263.4982,27480.8042,135.3335,19899.4311,288701.0131,86485.1131,120.185,1588.2675,9503.0527,172.2101,7615.4511,68027.4127,827.5044,62207.5226,2490.3761,2502.0097,615.0637,862.9296,33687.9099,2082.192,42.1512
2012年,856.25847,8221.35616,3965.34317,21.83574,92832.74587,8.91333,111.00754,286388.58945,218.14749,66879.49282,12754.21705,396.24185,30389.61661,369.57696,20920.58928,327091.32191,105586.96292,113.89834,1646.67337,10313.11585,176.35507,8367.27574,72600.47991,889.47715,66652.27151,2812.53741,2246.19384,768.55186,818.17921,33772.87683,1996.70273,43.15498
2013年,770.67742,9764.61581,1339.18937,331.9022,132477.31926,7.61998,8.76407,349643.45039,45.79744,42023.07764,32125.84073,158.25223,35494.2552,369.68324,24257.37653,398116.53837,164603.15999,125.52175,1727.81472,12978.83278,269.98461,10847.89172,97300.79323,134.05094,93373.72094,686.95809,3106.06326,230.46372,478.75344,42184.41268,1483.60032,17.64998
2014年,661.83855,10940.86605,815.73147,450.08812,144409.84749,20.50112,9.35081,373032.52426,31.17379,31473.31049,41636.35705,9.56122,40119.46329,376.85016,27689.82041,430678.3799,186046.20454,174.31596,3858.44031,17526.3924,430.74901,13042.386,108651.27558,118.00055,104858.33409,710.86236,2964.07858,57.68617,318.00389,44300.56716,1369.74496,7.60035
