,中外合作经营企业批发业企业商品购进额,中外合资经营企业批发业企业商品购进额,其他企业批发业企业商品购进额,其他外商投资企业批发业企业商品购进额,其他有限责任公司批发业企业商品购进额,其他港澳台商投资企业批发业企业商品购进额,其他联营企业批发业企业商品购进额,内资企业批发业企业商品购进额,国有与集体联营企业批发业企业商品购进额,国有企业批发业企业商品购进额,国有独资公司批发业企业商品购进额,国有联营企业批发业企业商品购进额,外商投资企业批发业企业商品购进额,外商投资股份有限公司批发业企业商品购进额,外资企业批发业企业商品购进额,批发业企业商品购进额,有限责任公司批发业企业商品购进额,港澳台商合作经营企业批发业企业商品购进额,港澳台商合资经营企业批发业企业商品购进额,港澳台商投资企业批发业企业商品购进额,港澳台商投资股份有限公司批发业企业商品购进额,港澳台商独资经营企业批发业企业商品购进额,私营企业批发业企业商品购进额,私营合伙企业批发业企业商品购进额,私营有限责任公司批发业企业商品购进额,私营独资企业批发业企业商品购进额,私营股份有限公司批发业企业商品购进额,联营企业批发业企业商品购进额,股份合作企业批发业企业商品购进额,股份有限公司批发业企业商品购进额,集体企业批发业企业商品购进额,集体联营企业批发业企业商品购进额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,20442.31,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,24979.75,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,27044.85,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,30010.17,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,36696.3992,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,71650.6,,,,,,,,,,,,,,,,
2006年,36.4497,1039.66588,201.63602,,19234.46667,,100.15318,77736.76595,71.70523,22215.42597,1880.40077,280.47517,4653.23199,128.19927,3448.91714,83379.9,21114.86744,49.60242,265.05074,989.85815,29.82325,645.38174,16390.64157,99.38068,15400.94637,191.70964,698.60488,475.03492,539.30584,15245.86261,1553.99158,22.70134
2007年,32.33217,1946.9003,307.66049,,24345.66801,,105.91304,96313.46556,122.25152,23977.32808,4133.02307,304.00521,7118.58426,397.08953,4742.26226,104832.5,28478.69108,81.38482,299.85985,1400.41736,36.12976,983.04293,23259.78792,120.45604,21597.68595,520.26326,1021.38267,553.33596,443.68386,17680.53298,1612.44519,21.16619
