,其他批发商品进口额,农畜产品批发商品进口额,化肥批发商品进口额,医药及医疗器材批发商品进口额,家用电器批发商品进口额,建材批发商品进口额,文化、体育用品及器材批发商品进口额,服装批发商品进口额,机械设备、五金交电及电子产品批发商品进口额,汽车、摩托车及零配件批发商品进口额,烟草制品批发商品进口额,煤炭及制品批发商品进口额,石油及制品批发商品进口额,矿产品、建材及化工产品批发商品进口额,米、面制品及食用油批发商品进口额,纺织、服装及日用品批发商品进口额,计算机、软件及辅助设备批发商品进口额,贸易经纪与代理商品进口额,金属及金属矿批发商品进口额,食品、饮料及烟草制品批发商品进口额
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,385.54446,388.57757,86.86193,404.99899,502.88122,393.39582,107.20699,226.25205,3443.84547,1131.17561,38.1153,310.20242,871.0496,6134.36473,191.37813,702.89543,401.46504,774.38994,3153.94851,357.32626
2010年,704.76319,621.322,91.4873,416.73161,988.68264,537.574,138.39141,244.71505,5370.06705,1864.48684,33.52087,581.65017,1326.49577,9029.32582,291.05129,929.37793,496.80185,750.3757,4673.17911,502.66313
2011年,1196.7644,683.9703,139.3804,728.4907,1029.4499,750.5437,213.0075,474.605,8102.811,3403.5869,42.7494,682.3971,2365.3671,11506.1062,262.6518,1326.6425,1126.2233,1022.2767,5485.3291,603.7759
2012年,1240.4912,830.45285,170.88635,916.83057,1216.28744,817.16092,311.45724,473.99284,8328.50071,3536.75797,128.55816,1055.11415,3656.00015,13389.60794,488.15831,2661.27369,789.35644,603.98852,5234.24214,1006.05735
2013年,1651.45777,986.21714,180.94063,1026.73001,1436.70152,810.52646,330.55186,432.93884,9077.36829,4320.22618,56.12942,974.73676,5191.00205,16832.84917,447.42801,3111.18668,624.42876,723.8067,6421.96413,1072.7042
2014年,1637.37213,854.98464,186.5615,1244.579,1148.38886,860.25175,431.53847,449.99946,10064.30454,4484.07395,68.25843,1020.63757,4280.84984,16301.46508,546.72567,2688.8575,642.85429,1034.75702,6127.02787,1197.20556
