,中国同不丹进出口总额,中国同东帝汶进出口总额,中国同中华人民共和国进出口总额,中国同中国台湾进出口总额,中国同中国澳门进出口总额,中国同中国香港进出口总额,中国同乌兹别克斯坦进出口总额,中国同也门共和国进出口总额,中国同亚洲其他国家(地区)进出口总额,中国同亚洲进出口总额,中国同以色列进出口总额,中国同伊拉克进出口总额,中国同伊朗进出口总额,中国同卡塔尔进出口总额,中国同印度尼西亚进出口总额,中国同印度进出口总额,中国同叙利亚进出口总额,中国同吉尔吉斯斯坦进出口总额,中国同哈萨克斯坦进出口总额,中国同土库曼斯坦进出口总额,中国同土耳其进出口总额,中国同塔吉克斯坦进出口总额,中国同塞浦路斯进出口总额,中国同孟加拉国进出口总额,中国同尼泊尔进出口总额,中国同巴勒斯坦进出口总额,中国同巴基斯坦进出口总额,中国同巴林进出口总额,中国同文莱进出口总额,中国同斯里兰卡进出口总额,中国同新加坡进出口总额,中国同日本进出口总额,中国同朝鲜进出口总额,中国同柬埔寨进出口总额,中国同沙特阿拉伯进出口总额,中国同泰国进出口总额,中国同科威特进出口总额,中国同约旦进出口总额,中国同缅甸进出口总额,中国同老挝进出口总额,中国同菲律宾进出口总额,中国同蒙古进出口总额,中国同越南进出口总额,中国同阿富汗进出口总额,中国同阿曼进出口总额,中国同阿联酋进出口总额,中国同韩国进出口总额,中国同马尔代夫进出口总额,中国同马来西亚进出口总额,中国同黎巴嫩进出口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,2049995.0,87045.0,4539981.0,8925.0,63039.0,,18541939.0,52368.0,16453.0,121483.0,6131.0,363103.0,192242.0,17563.0,19814.0,63554.0,1251.0,70185.0,1923.0,8128.0,68696.0,7210.0,,91247.0,5704.0,915.0,29842.0,817934.0,5793518.0,41302.0,16187.0,169941.0,367208.0,23011.0,15995.0,57649.0,2573.0,202642.0,24318.0,124567.0,2438.0,74588.0,145296.0,2126587.0,59.0,427024.0,14852.0
