,中国同不丹进出口总额,中国同东帝汶进出口总额,中国同中华人民共和国进出口总额,中国同中国台湾进出口总额,中国同中国澳门进出口总额,中国同中国香港进出口总额,中国同乌兹别克斯坦进出口总额,中国同也门共和国进出口总额,中国同亚洲其他国家(地区)进出口总额,中国同亚洲进出口总额,中国同以色列进出口总额,中国同伊拉克进出口总额,中国同伊朗进出口总额,中国同卡塔尔进出口总额,中国同印度尼西亚进出口总额,中国同印度进出口总额,中国同叙利亚进出口总额,中国同吉尔吉斯斯坦进出口总额,中国同哈萨克斯坦进出口总额,中国同土库曼斯坦进出口总额,中国同土耳其进出口总额,中国同塔吉克斯坦进出口总额,中国同塞浦路斯进出口总额,中国同孟加拉国进出口总额,中国同尼泊尔进出口总额,中国同巴勒斯坦进出口总额,中国同巴基斯坦进出口总额,中国同巴林进出口总额,中国同文莱进出口总额,中国同斯里兰卡进出口总额,中国同新加坡进出口总额,中国同日本进出口总额,中国同朝鲜进出口总额,中国同柬埔寨进出口总额,中国同沙特阿拉伯进出口总额,中国同泰国进出口总额,中国同科威特进出口总额,中国同约旦进出口总额,中国同缅甸进出口总额,中国同老挝进出口总额,中国同菲律宾进出口总额,中国同蒙古进出口总额,中国同越南进出口总额,中国同阿富汗进出口总额,中国同阿曼进出口总额,中国同阿联酋进出口总额,中国同韩国进出口总额,中国同马尔代夫进出口总额,中国同马来西亚进出口总额,中国同黎巴嫩进出口总额
1999年,,,,2347668.0,73446.0,4375463.0,4034.0,68360.0,,20424334.0,68183.0,26407.0,134746.0,9112.0,482998.0,198773.0,20833.0,13487.0,113878.0,949.0,68391.0,804.0,10253.0,71514.0,21536.0,,97061.0,7068.0,810.0,26809.0,856333.0,6617398.0,37041.0,16012.0,185543.0,421561.0,28856.0,18026.0,50821.0,3172.0,228681.0,26310.0,121815.0,1958.0,66245.0,163323.0,2503380.0,93.0,527934.0,15740.0
2000年,,,,3053256.0,80485.0,5394730.0,5146.0,91182.0,,27365011.0,105419.0,97490.0,248650.0,47218.0,746377.0,291421.0,17407.0,17761.0,155696.0,1616.0,120464.0,1717.0,15243.0,91844.0,20421.0,,116250.0,12111.0,7437.0,45830.0,1082067.0,8316399.0,48801.0,22355.0,309826.0,662404.0,61552.0,25310.0,62126.0,4084.0,314173.0,32261.0,246641.0,2529.0,332131.0,249450.0,3449977.0,136.0,804487.0,16935.0
2001年,162.0,,876769.0,3233969.0,86258.0,5596959.0,5830.0,66105.0,147.0,28813909.0,131591.0,46999.0,331289.0,40861.0,672461.0,359624.0,22319.0,11886.0,128837.0,3271.0,90502.0,1076.0,11761.0,97187.0,15321.0,494.0,139695.0,12977.0,16539.0,39675.0,1093440.0,8775448.0,73986.0,24041.0,407519.0,705030.0,64249.0,27429.0,63154.0,6187.0,356553.0,36235.0,281520.0,1742.0,167632.0,282499.0,3590990.0,220.0,942547.0,23824.0
2002年,64.0,,1498019.0,4464711.0,101839.0,6918939.0,13177.0,73110.0,56.0,36303033.0,141709.0,51706.0,373957.0,22355.0,793480.0,494503.0,37108.0,20188.0,195475.0,8752.0,137783.0,1239.0,22591.0,109863.0,11035.0,448.0,179961.0,10968.0,26283.0,35109.0,1403078.0,10189984.0,73823.0,27611.0,510689.0,855695.0,72733.0,35803.0,86164.0,6396.0,525940.0,36345.0,326427.0,1999.0,150665.0,389626.0,4410257.0,298.0,1427051.0,28027.0
2003年,197.8,107.0,2509430.0,5836447.0,146563.0,8739303.0,34703.3,189923.1,59.9,49547835.0,183130.0,5638.1,562252.0,35488.0,1022886.0,759461.0,50628.1,31429.7,329188.0,8292.4,259781.0,3881.6,21947.9,136805.8,12736.0,692.5,242993.0,13528.0,34626.2,52423.6,1934862.0,13355683.0,102308.5,32064.7,731912.0,1265475.0,118824.0,52481.0,107974.0,10943.7,939952.0,43984.0,463945.0,2705.9,206771.5,581046.0,6322282.0,335.2,2012730.0,37010.2
2004年,51.9,170.9,3865453.8,7830374.2,183347.8,11266528.8,57550.9,191625.1,43.3,66490646.8,248484.9,46980.3,704545.5,43777.7,1347209.4,1361403.8,72066.9,60228.7,449808.5,9843.8,341267.3,6892.7,18691.8,196327.5,17147.5,991.8,306054.1,21296.6,29894.6,71744.6,2668207.3,16783576.9,138516.1,48170.6,1029810.3,1734208.0,124811.0,71076.0,114537.6,11353.7,1332816.1,69442.3,674201.7,5792.0,438950.7,814561.2,9004566.3,809.0,2626079.6,49355.7
2005年,47.2,127.0,5516291.0,9122989.0,186961.0,13669803.0,68056.0,321479.0,23.0,80788703.0,302788.0,82379.0,1008327.0,67639.0,1678733.0,1870050.0,90637.0,97220.0,680611.0,10996.0,487547.0,15794.0,29012.0,248134.0,19644.0,2383.0,426083.0,25594.0,26087.0,97627.0,3314686.0,18439396.0,158024.0,56334.0,1607014.0,2181119.0,164897.0,91068.0,120925.0,12893.0,1755732.0,85992.0,819674.0,5272.0,432990.0,1077544.0,11192818.0,1696.0,3069956.0,47623.0
2006年,16.1386,1675.8409,7333283.4178,10783171.8151,244242.5,16608883.0767,97209.0302,303481.3658,16.5544,98109410.3955,387572.0262,114443.1018,1444740.7814,99878.974,1905545.5016,2485874.5905,140621.4411,222570.1147,835775.3686,17858.2867,806923.6422,32377.997,35369.4218,318923.8197,26808.1152,2807.2244,524657.8943,34873.4182,31494.1877,114124.6025,4085790.7371,20729525.4218,170008.6616,73285.6112,2014036.6083,2772649.309,278531.048,103097.9625,146006.7637,21836.3607,2341269.5541,158097.7807,994943.1315,10067.271,646901.5634,1420152.5534,13424634.9001,1600.0394,3710950.8084,50804.0384
2007年,539.2665,950.7306,8577297.6295,12448687.5926,292136.8427,19724044.952,112818.8947,270834.2364,26.5362,118780057.9,530993.652,145318.0663,2058964.5976,120888.1379,2499641.1837,3862855.8322,187673.7346,377923.1313,1387776.5655,35267.8394,1176802.2344,52405.0539,70585.1241,345906.4734,40036.734,3765.292,689327.1318,48714.5971,35875.6771,143211.132,4714398.0635,23595095.7543,197632.8369,93399.3506,2536696.674,3463811.8809,362925.5649,118135.6277,207783.991,26385.5809,3061576.0177,203459.8799,1511757.7865,17181.3722,727029.113,2003564.7618,15985081.0769,2507.1208,4638631.7702,71734.3777
2008年,846.3342,953.2522,9246120.0149,12921499.0581,290796.456,20364488.0402,160669.6092,439445.6992,40.7213,136670463.592,604982.494,265282.5912,2775762.3419,238578.9965,3151604.9095,5184426.6927,230322.0239,933337.7573,1755233.83,83037.6105,1256924.5257,149992.6289,113545.7624,468798.3568,38158.7843,4102.983,705786.5774,78639.3713,21942.7674,169063.4279,5247706.9905,26673249.5613,279284.3889,113437.1467,4184616.5891,4129309.1361,679011.5986,194930.6526,262531.5212,40237.2291,2863697.5059,243343.4802,1945845.0102,15431.9778,1242136.2539,2825693.9666,18606991.0615,3297.0845,5355656.5071,109672.312
2009年,417.0,2328.0,8641218.0,10622150.7375,209630.0,17493106.6779,192087.0,240595.0,5.0,117217138.0,517807.0,514795.0,2121909.0,225387.0,2838876.0,4338331.7017,222059.0,533028.0,1412913.0,95744.0,1009475.0,140669.0,121917.0,458166.0,41416.0,2432.0,678834.0,68650.0,42244.0,163931.0,4785587.0,22878256.377,267946.0,94415.0,3254839.0,3819082.0,504354.0,207065.0,290012.0,75180.0,2053900.0,242900.0,2104518.0,21489.0,615873.0,2122688.0,15621478.7766,4079.0,5196769.0,106584.0
2010年,159.9,4308.2,10687905.5,14541314.3,226435.2,23056246.9,248326.8,400294.0,37.6,156691106.9,764444.1,986496.0,2939107.7,331127.9,4275028.4,6176120.1,248326.0,419963.5,2044851.7,156963.6,1511058.2,143256.3,136499.5,705769.8,74267.3,2637.1,866861.9,105141.5,103193.9,209712.4,5707598.1,29777958.7,347181.9,144096.9,4319548.9,5293701.9,855694.9,205360.6,444207.0,108511.7,2776223.0,400182.5,3008608.3,17894.5,1072372.3,2568688.8,20711511.5,6352.4,7424884.4,134672.8
2011年,1745.7996,7217.5553,12261441.4537,16001760.6683,251754.1983,28347550.4276,216661.3655,423998.3376,11.3445,190312271.878,977850.3223,1426828.5213,4510340.4747,589306.6006,6055462.0445,7390824.1396,244639.6462,497645.2003,2496123.3102,547733.5775,1873733.1259,206900.5208,114966.6409,825921.4321,119509.0825,4885.6234,1055832.7317,120584.7878,131120.9552,314161.182,6371005.5794,34283400.8342,564149.4139,249910.8061,6431724.2791,6473384.9788,1130361.9174,276944.585,650139.7718,130087.8257,3224703.7062,643271.2495,4020784.1777,23441.3053,1587466.4722,3511922.3691,24562635.1828,9725.8167,9002269.6643,148430.8728
2012年,1561.7,6316.2,14294218.8,16898106.4,298738.8,34131099.8,287518.8,555915.4,,204510522.2,991045.1,1756759.3,3646584.2,848320.2,6623407.8,6647332.8,120035.9,516231.6,2568157.1,1037249.9,1909557.4,185669.9,123783.2,844983.5,199768.4,4101.2,1241364.7,155080.7,162553.7,316304.7,6927265.0,32945578.1,603616.3,292343.3,7331421.8,6975086.0,1255699.3,325574.1,697193.8,172077.7,3637546.4,660120.7,5043940.8,46923.6,1878701.7,4042029.0,25641529.4,7667.3,9483204.7,171226.6
2013年,1741.4,4778.3,15754044.1,19703895.5,355790.7,40070146.6,455144.8,520011.8,13.7,222400782.9,1082662.1,2487885.2,3942650.9,1017426.1,6835474.9,6540266.2,69485.7,513769.6,2859596.2,1003090.1,2223322.5,195811.5,102453.0,1030745.3,225413.7,9086.3,1421643.6,154411.0,179358.0,361911.3,7589638.0,31237785.0,655757.2,377314.2,7219052.5,7124055.0,1226214.7,360443.0,1019555.6,273265.6,3804993.5,595913.9,6547819.1,33785.4,2294145.7,4623482.1,27423770.8,9783.2,10608337.7,253641.0
2014年,1122.0385,6044.1499,14488043.6618,19828375.1625,380526.5431,37569851.8169,427612.4166,513416.7684,24.6313,227347807.407,1087974.2279,2850508.0375,5184233.6121,1059073.8926,6354485.2506,7057611.2287,98649.8721,529794.3797,2245167.1818,1047043.99,2301085.3309,251593.5179,110015.2908,1254338.015,233064.6693,7559.3212,1599835.1819,141574.6064,193653.1795,404107.0453,7973990.8077,31231185.2537,638758.2399,375765.2608,6908326.7907,7262115.6361,1343368.8941,362773.5236,2496892.6358,361735.8267,4445770.9381,731846.9064,8363641.1978,41093.1057,2586123.6524,5479786.3778,29044222.4275,10437.0539,10200563.0496,263024.8084
