,中国同中非进出口总额,中国同乌干达进出口总额,中国同乍得进出口总额,中国同佛得角进出口总额,中国同冈比亚进出口总额,中国同几内亚比绍进出口总额,中国同几内亚进出口总额,中国同刚果(布)进出口总额,中国同刚果(金)进出口总额,中国同利比亚进出口总额,中国同利比里亚进出口总额,中国同加纳进出口总额,中国同加蓬进出口总额,中国同加那利群岛进出口总额,中国同南苏丹共和国进出口总额,中国同南非进出口总额,中国同博茨瓦那进出口总额,中国同卢旺达进出口总额,中国同厄立特里亚进出口总额,中国同吉布提进出口总额,中国同喀麦隆进出口总额,中国同圣多美和普林西比进出口总额,中国同坦桑尼亚进出口总额,中国同埃及进出口总额,中国同埃塞俄比亚进出口总额,中国同塞内加尔进出口总额,中国同塞卜泰(休达)进出口总额,中国同塞拉利昂进出口总额,中国同塞舌尔进出口总额,中国同多哥进出口总额,中国同安哥拉进出口总额,中国同尼日利亚进出口总额,中国同尼日尔进出口总额,中国同布基纳法索进出口总额,中国同布隆迪进出口总额,中国同摩洛哥进出口总额,中国同斯威士兰进出口总额,中国同梅利利亚进出口总额,中国同毛里塔尼亚进出口总额,中国同毛里求斯进出口总额,中国同津巴布韦进出口总额,中国同留尼汪进出口总额,中国同科摩罗进出口总额,中国同科特迪瓦共和国进出口总额,中国同突尼斯进出口总额,中国同索马里进出口总额,中国同纳米比亚进出口总额,中国同肯尼亚进出口总额,中国同苏丹进出口总额,中国同莫桑比克进出口总额,中国同莱索托进出口总额,中国同西撒哈拉进出口总额,中国同贝宁进出口总额,中国同赞比亚进出口总额,中国同赤道几内亚进出口总额,中国同阿尔及利亚进出口总额,中国同非洲其他国家(地区)进出口总额,中国同非洲进出口总额,中国同马拉维进出口总额,中国同马约特岛进出口总额,中国同马达加斯加进出口总额,中国同马里进出口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
