,专用设备制造业私营工业企业外商资本金,仪器仪表制造业私营工业企业外商资本金,其他制造业私营工业企业外商资本金,其他采矿业私营工业企业外商资本金,农副食品加工业私营工业企业外商资本金,化学原料和化学制品制造业私营工业企业外商资本金,化学纤维制造业私营工业企业外商资本金,医药制造业私营工业企业外商资本金,印刷和记录媒介复制业私营工业企业外商资本金,家具制造业私营工业企业外商资本金,废弃资源综合利用业私营工业企业外商资本金,开采辅助活动私营工业企业外商资本金,文教、工美、体育和娱乐用品制造业私营工业企业外商资本金,有色金属冶炼和压延加工业私营工业企业外商资本金,有色金属矿采选业私营工业企业外商资本金,木材加工和木、竹、藤、棕、草制品业私营工业企业外商资本金,橡胶和塑料制品业私营工业企业外商资本金,水的生产和供应业私营工业企业外商资本金,汽车制造业私营工业企业外商资本金,烟草制品业私营工业企业外商资本金,煤炭开采和洗选业私营工业企业外商资本金,燃气生产和供应业私营工业企业外商资本金,电力、热力生产和供应业私营工业企业外商资本金,电气机械和器材制造业私营工业企业外商资本金,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业外商资本金,石油加工、炼焦和核燃料加工业私营工业企业外商资本金,石油和天然气开采业私营工业企业外商资本金,私营工业企业外商资本金,纺织业私营工业企业外商资本金,纺织服装、服饰业私营工业企业外商资本金,计算机、通信和其他电子设备制造业私营工业企业外商资本金,通用设备制造业私营工业企业外商资本金,造纸和纸制品业私营工业企业外商资本金,酒、饮料和精制茶制造业私营工业企业外商资本金,金属制品、机械和设备修理业私营工业企业外商资本金,金属制品业私营工业企业外商资本金,铁路、船舶、航空航天和其他运输设备私营工业企业外商资本金,非金属矿物制品业私营工业企业外商资本金,非金属矿采选业私营工业企业外商资本金,食品制造业私营工业企业外商资本金,黑色金属冶炼和压延加工业私营工业企业外商资本金,黑色金属矿采选业私营工业企业外商资本金
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,6.06663,0.3063,1.30181,,3.43384,5.84512,2.41359,2.22423,0.91303,1.12707,0.97365,,1.6544,2.15302,0.01115,0.88962,1.62906,,1.96093,,0.0037,0.005,,4.22173,3.71299,,,113.21574,5.11462,2.88262,2.8162,3.39069,2.8263,3.66884,,4.4773,14.64126,24.97129,0.34169,1.90675,5.25611,0.0752
2013年,5.31,0.65,1.32,0.0,6.17,11.9,2.41,3.12,0.4,1.17,1.13,0.0,2.31,2.43,0.22,0.51,1.08,0.0,3.08,0.0,0.53,0.0,0.2,26.06,2.82,0.0,0.0,138.53,4.21,3.31,2.43,2.33,2.48,4.72,0.0,11.96,15.06,7.04,0.46,3.76,7.92,0.03
2014年,7.15,0.2,1.43,0.0,6.29,12.92,2.34,2.63,0.5,0.99,0.0,0.0,2.61,1.23,0.04,1.32,1.49,0.0,3.5,0.0,0.36,0.0,0.42,14.99,3.13,0.04,0.0,126.89,6.99,2.03,3.92,3.6,0.02,4.16,0.0,13.04,16.59,8.07,0.22,3.0,1.62,0.02
