,专用设备制造业私营工业企业出口交货值,仪器仪表制造业私营工业企业出口交货值,其他制造业私营工业企业出口交货值,其他采矿业私营工业企业出口交货值,农副食品加工业私营工业企业出口交货值,化学原料和化学制品制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,印刷和记录媒介复制业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,废弃资源综合利用业私营工业企业出口交货值,开采辅助活动私营工业企业出口交货值,文教、工美、体育和娱乐用品制造业私营工业企业出口交货值,有色金属冶炼和压延加工业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业私营工业企业出口交货值,橡胶和塑料制品业私营工业企业出口交货值,水的生产和供应业私营工业企业出口交货值,汽车制造业私营工业企业出口交货值,烟草制品业私营工业企业出口交货值,煤炭开采和洗选业私营工业企业出口交货值,燃气生产和供应业私营工业企业出口交货值,电力、热力生产和供应业私营工业企业出口交货值,电气机械和器材制造业私营工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业出口交货值,石油加工、炼焦和核燃料加工业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,私营工业企业出口交货值,纺织业私营工业企业出口交货值,纺织服装、服饰业私营工业企业出口交货值,计算机、通信和其他电子设备制造业私营工业企业出口交货值,通用设备制造业私营工业企业出口交货值,造纸和纸制品业私营工业企业出口交货值,酒、饮料和精制茶制造业私营工业企业出口交货值,金属制品、机械和设备修理业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,铁路、船舶、航空航天和其他运输设备私营工业企业出口交货值,非金属矿物制品业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,黑色金属冶炼和压延加工业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,374.20289,156.17104,157.91964,,837.95571,831.75671,149.71424,197.86719,49.55872,402.30725,2.71775,,1091.43418,209.00783,11.92658,356.27984,719.2943,,434.87115,,2.53114,0.25522,0.52941,1363.13822,769.55038,10.17901,,14810.62141,1292.54674,1327.48579,743.15286,749.18717,78.57422,59.08778,8.24108,953.59617,411.65791,482.53727,12.10341,296.85176,263.06467,3.36618
2013年,491.68,147.15,168.76,0.0,1178.44,910.88,154.48,186.49,73.13,469.38,1.86,0.0,1394.05,243.51,11.66,396.06,945.24,0.0,366.18,0.0,17.4,0.01,0.02,1428.62,877.57,36.49,0.0,17084.72,1407.23,1460.21,966.34,828.62,94.97,73.96,7.75,1115.87,435.54,530.46,12.6,366.6,285.5,0.0
2014年,561.21,179.49,182.05,1.35,1129.21,1001.48,172.91,238.92,82.39,512.59,1.41,0.0,1724.26,288.52,10.96,388.99,1081.69,0.0,401.28,0.0,9.04,0.0,0.0,1585.22,1018.26,12.93,0.0,19019.69,1397.91,1522.26,1471.2,900.08,98.14,71.64,19.44,1136.65,499.91,630.05,8.29,327.2,352.77,0.0
