,专用设备制造业私营工业企业工业销售产值(现价),仪器仪表制造业私营工业企业工业销售产值(现价),其他制造业私营工业企业工业销售产值(现价),其他采矿业私营工业企业工业销售产值(现价),农副食品加工业私营工业企业工业销售产值(现价),化学原料和化学制品制造业私营工业企业工业销售产值(现价),化学纤维制造业私营工业企业工业销售产值(现价),医药制造业私营工业企业工业销售产值(现价),印刷和记录媒介复制业私营工业企业工业销售产值(现价),家具制造业私营工业企业工业销售产值(现价),废弃资源综合利用业私营工业企业工业销售产值(现价),开采辅助活动私营工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业私营工业企业工业销售产值(现价),有色金属冶炼和压延加工业私营工业企业工业销售产值(现价),有色金属矿采选业私营工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业私营工业企业工业销售产值(现价),橡胶和塑料制品业私营工业企业工业销售产值(现价),水的生产和供应业私营工业企业工业销售产值(现价),汽车制造业私营工业企业工业销售产值(现价),烟草制品业私营工业企业工业销售产值(现价),煤炭开采和洗选业私营工业企业工业销售产值(现价),燃气生产和供应业私营工业企业工业销售产值(现价),电力、热力生产和供应业私营工业企业工业销售产值(现价),电气机械和器材制造业私营工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业私营工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业私营工业企业工业销售产值(现价),石油和天然气开采业私营工业企业工业销售产值(现价),私营工业企业工业销售产值(现价),纺织业私营工业企业工业销售产值(现价),纺织服装、服饰业私营工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业私营工业企业工业销售产值(现价),通用设备制造业私营工业企业工业销售产值(现价),造纸和纸制品业私营工业企业工业销售产值(现价),酒、饮料和精制茶制造业私营工业企业工业销售产值(现价),金属制品、机械和设备修理业私营工业企业工业销售产值(现价),金属制品业私营工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备私营工业企业工业销售产值(现价),非金属矿物制品业私营工业企业工业销售产值(现价),非金属矿采选业私营工业企业工业销售产值(现价),食品制造业私营工业企业工业销售产值(现价),黑色金属冶炼和压延加工业私营工业企业工业销售产值(现价),黑色金属矿采选业私营工业企业工业销售产值(现价)
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,10468.69943,2487.22471,850.47227,16.25828,23795.68817,22525.26101,2623.84224,4613.50406,2030.5501,2910.10335,1314.21468,35.86394,4489.16643,12003.63838,1933.13512,6989.10305,11338.29133,90.66534,8606.31202,5.83248,6781.12274,196.34669,543.14396,18558.76563,4867.53388,5036.69269,31.75957,285331.77055,16446.18149,7835.58467,5769.52203,15486.37744,4877.35633,3743.73255,234.44798,14652.97426,4523.9981,22299.9489,2395.64513,5462.3853,21400.31156,5060.11326
2013年,13131.37,2933.15,996.26,16.88,29292.57,27605.27,2968.29,5939.03,2912.91,3426.21,1578.18,52.61,5961.33,15372.19,2218.77,8297.08,13521.02,110.71,9423.16,11.75,6730.2,335.09,645.89,22005.27,5629.49,5788.31,38.57,341836.32,19103.34,9264.32,7793.74,19012.8,5262.75,4666.61,252.88,17770.23,4952.43,26824.33,2876.09,6409.05,24944.43,5761.77
2014年,14865.34,3273.23,1151.17,19.2,31395.97,30227.05,3039.93,6995.58,3375.08,3847.29,1743.9,59.77,7121.37,16411.49,2233.91,9316.09,15030.83,112.02,11130.26,15.49,6077.43,454.44,748.65,24284.3,6280.18,5758.94,38.26,375088.65,20685.93,10057.47,10001.95,21051.3,5521.42,5194.36,213.88,19893.84,5517.28,30424.33,3165.6,7238.7,25560.66,5554.74
