,专用设备制造业私营工业企业应收帐款净额,仪器仪表制造业私营工业企业应收帐款净额,其他制造业私营工业企业应收帐款净额,其他采矿业私营工业企业应收帐款净额,农副食品加工业私营工业企业应收帐款净额,化学原料和化学制品制造业私营工业企业应收帐款净额,化学纤维制造业私营工业企业应收帐款净额,医药制造业私营工业企业应收帐款净额,印刷和记录媒介复制业私营工业企业应收帐款净额,家具制造业私营工业企业应收帐款净额,废弃资源综合利用业私营工业企业应收帐款净额,开采辅助活动私营工业企业应收帐款净额,文教、工美、体育和娱乐用品制造业私营工业企业应收帐款净额,有色金属冶炼和压延加工业私营工业企业应收帐款净额,有色金属矿采选业私营工业企业应收帐款净额,木材加工和木、竹、藤、棕、草制品业私营工业企业应收帐款净额,橡胶和塑料制品业私营工业企业应收帐款净额,水的生产和供应业私营工业企业应收帐款净额,汽车制造业私营工业企业应收帐款净额,烟草制品业私营工业企业应收帐款净额,煤炭开采和洗选业私营工业企业应收帐款净额,燃气生产和供应业私营工业企业应收帐款净额,电力、热力生产和供应业私营工业企业应收帐款净额,电气机械和器材制造业私营工业企业应收帐款净额,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业应收帐款净额,石油加工、炼焦和核燃料加工业私营工业企业应收帐款净额,石油和天然气开采业私营工业企业应收帐款净额,私营工业企业应收帐款净额,纺织业私营工业企业应收帐款净额,纺织服装、服饰业私营工业企业应收帐款净额,计算机、通信和其他电子设备制造业私营工业企业应收帐款净额,通用设备制造业私营工业企业应收帐款净额,造纸和纸制品业私营工业企业应收帐款净额,酒、饮料和精制茶制造业私营工业企业应收帐款净额,金属制品、机械和设备修理业私营工业企业应收帐款净额,金属制品业私营工业企业应收帐款净额,铁路、船舶、航空航天和其他运输设备私营工业企业应收帐款净额,非金属矿物制品业私营工业企业应收帐款净额,非金属矿采选业私营工业企业应收帐款净额,食品制造业私营工业企业应收帐款净额,黑色金属冶炼和压延加工业私营工业企业应收帐款净额,黑色金属矿采选业私营工业企业应收帐款净额
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,996.73797,315.19925,55.06409,0.37798,715.17127,1308.41628,159.49454,328.64939,194.38729,166.74569,55.49036,7.87567,285.16451,632.09803,67.82952,222.34634,854.10728,9.57211,806.92747,2.0254,435.73688,10.90617,62.46787,2470.62732,307.28542,267.68646,0.66092,19819.71446,1048.89866,549.48708,799.1709,1479.16794,371.30986,150.16534,22.82655,1226.97014,437.70315,1693.93437,79.22841,234.35931,787.52724,199.91403
2013年,1324.29,352.55,75.51,0.51,909.42,1678.78,193.8,422.47,268.06,203.72,88.17,16.84,466.95,800.24,90.34,280.18,1071.98,10.4,964.08,2.55,519.54,14.38,77.54,2868.61,374.09,339.84,1.58,24676.23,1240.62,614.05,1227.78,1851.27,427.7,206.13,18.94,1457.29,489.87,2207.56,104.92,276.03,895.52,242.13
2014年,1503.59,401.42,83.61,0.41,1046.41,1893.2,201.03,488.26,288.41,234.98,99.79,21.02,651.98,869.37,99.33,320.54,1206.58,9.15,1103.68,4.69,512.18,17.84,106.71,3119.16,420.95,466.45,0.97,27805.4,1329.01,692.61,1470.87,1984.0,435.01,240.87,19.64,1642.13,546.93,2593.47,125.28,328.77,990.47,234.64
