,人民法院审理其他婚姻家庭一审案件结案中其他案件数,人民法院审理其他继承一审案件结案中其他案件数,人民法院审理婚姻家庭、继承一审案件结案中其他案件数,人民法院审理婚姻家庭一审案件结案中其他案件数,人民法院审理抚养、扶养关系纠纷一审案件结案中其他案件数,人民法院审理抚育费纠纷一审案件结案中其他案件数,人民法院审理法定继承一审案件结案中其他案件数,人民法院审理离婚一审案件结案中其他案件数,人民法院审理继承一审案件结案中其他案件数,人民法院审理赡养纠纷一审案件结案中其他案件数,人民法院审理遗嘱继承一审案件结案中其他案件数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,11993,0,0,0,0,0,0,0,0
2003年,0,0,11169,0,0,0,0,0,0,0,0
2004年,0,0,10282,0,0,0,0,0,0,0,0
2005年,647,115,8211,7959,230,231,121,6441,252,410,16
2006年,716,143,7951,7636,252,293,154,6015,315,360,18
2007年,680,153,8244,7923,254,243,152,6396,321,350,16
2008年,837,215,9185,8750,304,237,191,7032,435,340,29
2009年,1086,207,10029,9548,343,269,232,7503,481,347,42
2010年,1435,236,10186,9627,318,250,273,7299,559,325,50
2011年,1705,1201,11161,9683,306,288,229,7040,1478,344,48
2012年,1446,1060,11539,10226,289,267,202,7818,1313,406,51
2013年,1446,660,12083,11100,292,263,272,8752,983,347,51
2014年,1404,418,12666,11809,335,288,384,9431,857,351,55
